"Date: May 25, 2025 - Time: 19:12.48"
3,3,10,350,366
3,1,2,350,338
3,1,1,350,397
3,4,3,350,337
3,3,10,350,397
3,3,2,350,309
3,4,9,350,375
3,4,4,350,342
3,4,4,350,312
4,1,1,350,394
4,1,1,350,368
4,2,6,350,306
4,3,4,350,365
2,2,2,350,315
2,3,6,350,301
2,2,8,350,305
2,1,2,350,398
3,1,4,350,305
3,3,10,350,366
3,1,2,350,338
3,1,1,350,397
3,4,3,350,337
3,3,10,350,397
3,3,2,350,309
3,4,9,350,375
3,4,4,350,342
3,4,4,350,312
4,1,1,350,394
4,1,1,350,368
4,2,6,350,306
4,3,4,350,365
4,3,3,350,367
4,2,11,350,312
